1.0038 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
11.8878 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1360, 768]. Using actual size
12.4194 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000000929F9400D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000092A0AC1430>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1360,  768]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.4196 	EXP 	window1: mouseVisible = True
12.4197 	EXP 	window1: mouseVisible = False
12.4197 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
12.4197 	EXP 	window1: recordFrameIntervals = False
12.5856 	EXP 	window1: recordFrameIntervals = True
12.7691 	EXP 	Screen (0) actual frame rate measured at 60.00Hz
12.7691 	EXP 	window1: recordFrameIntervals = False
14.1628 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
14.1780 	EXP 	window1: mouseVisible = True
14.2839 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05000000000000001, labelWrapWidth=None, labels=['Familar', 'Unfamilar'], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.3]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
14.2851 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0. , 0.3]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
14.3180 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05000000000000001, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([ 0. , -0.3]), rgb=UNKNOWN, text='click to  submit', units='height', win=Window(...), wrapWidth=1)
14.3181 	EXP 	window1: mouseVisible = True
14.3240 	EXP 	Imported C:/Users/student/Desktop/dhruvi Lab in psy/study_words.xlsx as conditions, 5 conditions, 1 params
14.3244 	EXP 	Created sequence: random, trialTypes=5, nReps=1, seed=None
14.3246 	EXP 	New trial (rep=0, index=0): {'study_word': 'piano'}
14.3496 	EXP 	slider: autoLog = True
14.3496 	EXP 	slider: markerPos = None
14.3496 	EXP 	slider: styleTweaks = []
14.3496 	EXP 	slider: styleTweaks = []
14.3496 	EXP 	slider: styleTweaks = []
14.3496 	EXP 	slider: styleTweaks = []
14.3496 	EXP 	slider: contrast = 1.0
14.3496 	EXP 	slider: autoLog = True
14.3496 	EXP 	textbox: autoLog = True
14.3496 	EXP 	text: height = 0.05000000000000001
14.3496 	EXP 	text: height = 0.05000000000000001
14.3496 	EXP 	text: height = 0.05000000000000001
14.3496 	EXP 	text: text = 'piano'
14.3496 	EXP 	slider: markerPos = None
14.3496 	EXP 	slider: markerPos = None
14.3496 	EXP 	text: autoDraw = True
14.3496 	EXP 	slider: autoDraw = True
16.5705 	DATA 	Mouse: Left button down, pos=(492,146)
16.5856 	EXP 	slider: markerPos = 2.0208333333333335
